data,ano,mes,mes_nome,precipitacao_mm,fonte,seca,grupo_seca,decada
2007-06-01,2007,6,Jun,32.0,Sr. Luiz (Pluviômetro),0,13,2000
2007-07-01,2007,7,Jul,268.0,Sr. Luiz (Pluviômetro),0,13,2000
2007-08-01,2007,8,Ago,0.0,Sr. Luiz (Pluviômetro),1,14,2000
2007-09-01,2007,9,Set,43.0,Sr. Luiz (Pluviômetro),0,15,2000
2007-10-01,2007,10,Out,174.0,Sr. Luiz (Pluviômetro),0,15,2000
2007-11-01,2007,11,Nov,153.0,Sr. Luiz (Pluviômetro),0,15,2000
2007-12-01,2007,12,Dez,237.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-01-01,2008,1,Jan,432.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-02-01,2008,2,Fev,279.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-03-01,2008,3,Mar,84.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-04-01,2008,4,Abr,211.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-05-01,2008,5,Mai,152.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-06-01,2008,6,Jun,44.0,Sr. Luiz (Pluviômetro),0,15,2000
2008-07-01,2008,7,Jul,3.0,Sr. Luiz (Pluviômetro),1,16,2000
2008-08-01,2008,8,Ago,157.0,Sr. Luiz (Pluviômetro),0,17,2000
2008-09-01,2008,9,Set,101.0,Sr. Luiz (Pluviômetro),0,17,2000
2008-10-01,2008,10,Out,212.0,Sr. Luiz (Pluviômetro),0,17,2000
2008-11-01,2008,11,Nov,134.0,Sr. Luiz (Pluviômetro),0,17,2000
2008-12-01,2008,12,Dez,52.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-01-01,2009,1,Jan,405.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-02-01,2009,2,Fev,214.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-03-01,2009,3,Mar,56.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-04-01,2009,4,Abr,78.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-05-01,2009,5,Mai,88.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-06-01,2009,6,Jun,103.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-07-01,2009,7,Jul,301.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-08-01,2009,8,Ago,84.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-09-01,2009,9,Set,191.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-10-01,2009,10,Out,226.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-11-01,2009,11,Nov,274.0,Sr. Luiz (Pluviômetro),0,17,2000
2009-12-01,2009,12,Dez,275.0,Sr. Luiz (Pluviômetro),0,17,2000
2010-01-01,2010,1,Jan,248.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-02-01,2010,2,Fev,50.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-03-01,2010,3,Mar,186.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-04-01,2010,4,Abr,113.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-05-01,2010,5,Mai,38.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-06-01,2010,6,Jun,30.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-07-01,2010,7,Jul,50.0,Sr. Luiz (Pluviômetro),0,17,2010
2010-08-01,2010,8,Ago,5.0,Sr. Luiz (Pluviômetro),1,18,2010
2010-09-01,2010,9,Set,52.0,Sr. Luiz (Pluviômetro),0,19,2010
2010-10-01,2010,10,Out,153.0,Sr. Luiz (Pluviômetro),0,19,2010
2010-11-01,2010,11,Nov,70.0,Sr. Luiz (Pluviômetro),0,19,2010
2010-12-01,2010,12,Dez,194.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-01-01,2011,1,Jan,214.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-02-01,2011,2,Fev,319.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-03-01,2011,3,Mar,93.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-04-01,2011,4,Abr,103.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-05-01,2011,5,Mai,10.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-06-01,2011,6,Jun,65.0,Sr. Luiz (Pluviômetro),0,19,2010
